FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA
5.635206,4.766571,3.326027,2.479283,4.57227,3.58131,1.9323,2.075721,2.050632,2.049648
79.369997,25.378149,47.728607,29.999302,3.361281,3.362518,10.183327,3.361578,10.24866,10.24866
18.678644,10.252864,7.025923,5.804946,2.845623,2.627581,3.05804,2.421262,3.271162,3.262224
13.177393,7.228344,4.113329,2.564432,1.534987,1.499528,1.49532,1.501357,1.798316,1.798252
11.331289,4.662164,3.660805,3.160906,2.634593,2.105301,1.999279,2.000053,2.114218,2.114229
40.925449,31.875061,18.505897,9.37419,3.06968,2.511016,3.063961,2.749553,3.128152,3.128808
98.934038,57.716893,15.931985,5.068074,3.834256,4.250109,7.007092,6.783104,33.587392,33.592879
19.14902,10.098271,5.004044,2.992041,3.294384,2.015893,2.180043,2.279153,2.992498,3.000173
62.467439,27.914,15.819307,13.148106,3.22899,1.924761,2.508668,2.558972,2.576694,2.576694
66.252612,58.176905,39.530807,18.749842,3.05694,3.235859,3.354964,3.431023,3.727153,3.66868
118.162946,84.147557,50.844637,48.072268,16.380451,12.915376,14.021399,13.143636,26.812192,26.949024
35.162092,18.332678,11.254194,12.229163,8.774673,3.344947,5.070455,3.583704,5.294768,5.369631
46.9413,31.70947,15.059431,10.120336,4.062787,1.726581,2.411409,2.286201,2.578765,2.587979
6.986297,4.37101,2.955889,2.202978,1.408533,1.385962,2.385324,1.345645,2.399073,2.399073
106.310394,16.435719,11.936254,9.17254,18.272008,29.980439,30.464884,15.115307,26.577904,31.114516
