FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
3299.673899,1119.72495,1683.714621,129.05961,27.739137,27.23563,14.973662,2090.864239,2754.950806,164.676947,2106.585064,2549.596673
7724.389744,6148.605737,3784.30889,3609.767428,8.972363,10.260158,32.971365,3600.117306,8671.528265,432.914578,4151.13126,10024.544642
5150.76639,4492.068241,2713.854381,624.406781,16.122435,16.035788,12.435444,2971.300424,6582.56713,198.663297,2989.603962,6819.44043
10647.923447,7932.00471,5653.46879,5932.472695,183.426584,118.830316,206.13093,8446.572221,12495.043828,657.346433,8604.87391,13338.262808
5705.712016,4633.700972,2898.834649,2476.761812,569.68632,11.279565,197.234795,5390.497542,6293.114343,1222.411036,5239.008539,5945.082674
3546.723836,3247.230694,1206.052873,836.178378,78.351201,77.390754,74.495418,3677.824511,4157.47081,325.432039,2278.885809,5365.094404
7806.882062,6190.340663,2980.815353,3579.005714,100.370282,59.032663,237.464085,5095.481414,7917.532224,843.142045,6058.620957,9491.53059
4600.859343,3318.036646,972.721973,682.417621,147.437985,6.432068,9.263016,2251.518081,4331.147792,281.660088,1825.31231,7803.733961
13657.798634,8697.634297,3287.125724,5076.116774,254.719449,139.037015,726.025192,5024.657615,13980.849101,3694.451348,6704.752534,14836.224982
12396.730626,7548.848532,7472.20202,4763.970153,1688.630115,862.779633,2295.771679,9821.495232,12550.59127,4583.423835,10472.187273,12835.018109
5293.591266,3668.169821,4204.771588,1622.294302,38.369911,28.217076,250.60035,5734.675608,5252.917636,1645.001442,4406.21298,5523.413687
13903.957562,12340.780243,8030.835268,8209.308368,1979.43539,1404.863607,4643.717258,11491.324674,14048.929993,4660.451091,9947.710234,15885.022512
5436.293106,3410.853801,2732.22688,1185.732154,26.28567,22.817816,8.094124,3812.551292,6567.551475,186.443739,2629.97083,7784.500268
4975.828312,3847.98429,1899.618432,1133.831417,40.543056,43.038445,48.530474,3215.299719,6203.021223,158.645824,2174.255225,6555.819258
13601.530349,10708.534453,6759.16023,6908.865192,1315.050893,301.918173,1382.049084,10408.443274,13639.086054,1561.401418,11430.033486,13683.46076
11158.313903,7793.844042,6030.317642,4750.162858,674.395311,101.153366,1155.968473,7432.949584,12235.527253,2960.888175,6521.9108,11036.157798
3086.507086,1070.980493,1085.402654,257.801566,5.690141,7.739979,5.228287,1316.624699,2670.109744,104.786938,1656.064129,3644.838293
4767.246405,2943.102969,1868.269845,1703.685893,6.461483,14.39305,9.659968,3582.928633,5296.973151,574.305931,4548.727395,5334.418147
11075.743264,9975.026417,5108.29066,3879.551392,74.604126,116.329131,112.907677,7957.118904,12469.022246,425.507852,7809.588755,13815.908473
12910.986127,7019.188117,5839.289486,5541.841985,2866.142009,846.801089,1435.330103,8055.2174,13547.329056,5120.383409,10024.940536,14527.421242
2866.976901,1660.206766,667.272462,583.610383,10.986426,14.468053,11.568696,2488.798635,3007.660446,78.597389,885.093984,3661.064053
9848.271663,8634.058563,4961.151506,3787.659707,17.059393,11.622177,48.096071,7814.883834,10354.41679,2241.913789,7478.015935,10713.724299
12815.676945,11087.819631,7414.622997,7758.354826,1325.172587,655.656212,1462.227238,10043.472087,13814.974641,1784.081576,10714.386924,14342.584812
9455.254417,7719.041956,3838.621102,3965.402895,52.162369,24.770504,392.690143,5531.812958,10987.965026,1349.282315,6919.331212,11289.915631
1005.595438,183.032444,140.318852,7.38383,9.079263,4.653967,4.636538,536.663569,564.717561,67.593659,367.40528,516.29534
4726.81419,3852.680566,2163.714256,1667.359014,7.425261,4.478931,9.755934,3650.025143,5370.65744,219.515918,4552.558283,5865.006545
3068.845183,1522.438218,277.151158,151.795032,4.744829,5.926345,12.905327,1228.566723,3193.513358,149.255429,710.755846,3942.885514
12929.476441,10769.497405,6259.138187,5646.670287,139.123215,235.384385,915.495,9987.672543,13724.593686,1662.550712,9360.014081,14531.897051
3357.649884,1786.122219,1113.6155,336.915861,8.968978,9.415894,21.080829,1856.221542,4011.855242,481.043794,1582.730836,4261.973895
12470.690075,9387.933254,6021.364438,6331.994585,994.035477,13.010227,35.639699,6954.60931,13194.862254,585.435074,9262.452463,14673.633539
9433.885607,7455.679214,6015.598056,4183.238393,556.257279,126.327021,306.924495,6362.974378,10367.505788,1482.856172,8162.240655,11321.578092
5235.320226,3166.83628,2411.587824,1557.503404,7.631633,9.729287,9.711692,2776.852885,4974.916639,715.655868,2881.47924,7587.454739
9377.038095,7211.835159,5904.563874,4054.297205,805.369419,173.188648,843.058037,5180.621259,9871.685446,2978.289347,7487.15198,10894.413062
6734.488496,3696.860423,3563.643562,1423.758324,8.580478,23.024124,17.706814,4279.746346,7559.665806,238.292086,4926.783588,9303.893479
4000.493071,946.968369,1638.330912,238.666696,16.674225,19.996497,20.286667,1721.589547,4746.24588,49.706666,4280.55836,5432.164364
5806.259748,4038.67771,2818.456518,2370.286139,10.371684,7.727251,14.168197,5706.062133,6660.833924,1431.60966,5924.565797,6726.250006
5571.771012,2980.661993,3066.593868,639.50412,10.798069,13.470287,28.747068,1895.70223,6004.025623,508.981481,2533.337958,6666.985889
6726.049529,4555.261395,1685.127117,1450.937114,6.993166,8.439133,19.566996,3389.645259,7355.209541,1084.406533,4031.367022,8485.385167
