FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA
7499.1712,4725.720974,1951.243386,888.173617,29.536271,24.996707,75.547397,7758.592834,7976.208751,6166.161011
9344.446725,5944.652786,1954.775508,760.921913,43.475852,38.209948,77.446158,9428.035963,9580.055182,5899.639535
5126.256627,1838.173984,1985.344503,346.966094,16.746743,20.82379,27.85679,4252.903886,6570.209913,6369.080894
5538.22828,3288.547473,4748.1785,2154.575005,35.769788,62.649544,95.178286,6098.25377,6316.139416,2451.822001
4213.10749,891.684496,1509.066338,128.434795,8.313945,15.962357,11.369905,2996.321244,2227.503581,580.903322
11109.607406,6052.034277,3812.591704,2890.057207,243.212163,767.866446,447.022494,9659.085329,13210.260102,11993.412277
11444.204317,8592.712494,4823.924826,3034.894241,11.267142,94.862521,27.321479,9556.528067,12210.425656,11210.1898
7704.90093,2632.846712,1986.678286,713.226988,39.720715,21.249013,35.966522,8017.709794,9207.958656,9348.46525
7070.390823,3810.080715,2184.263917,649.733284,62.179382,27.495232,78.902098,6285.95236,5815.028306,4128.258011
8853.738516,4214.557391,1868.549398,1589.549162,20.341068,30.571359,33.886515,7613.923806,10024.21117,8324.053873
6220.640889,2184.719073,1299.63098,109.738539,26.810083,21.139746,16.649111,5368.91647,4676.670019,3574.565909
9363.122694,7216.584682,4916.282355,5045.349453,137.070639,782.26036,285.012176,8694.130328,11669.556725,10950.703709
6508.781562,3093.872435,1667.938544,159.356976,13.905381,27.638318,42.734681,6356.979053,7976.985794,8306.349215
10184.051714,7754.518742,4884.301146,4669.646051,915.844225,873.978591,951.434856,11548.023914,11872.57835,11146.113876
21740.858037,13432.467682,7868.002466,9621.188032,3368.712986,3801.453214,2765.056534,20802.250869,24018.830562,22498.05838
5013.515871,2296.376267,641.122058,383.399447,44.231504,46.377405,41.925426,4772.365668,3047.040707,2363.428232
8576.203487,6891.95132,2975.602112,1221.98813,21.508928,69.488857,23.67757,10617.911825,9402.508819,9346.906755
13923.55559,9044.690005,6012.330524,4264.711842,241.380967,200.470866,738.49237,13782.501025,14956.138013,13065.234887
4299.770978,1914.490724,1166.349932,655.870403,112.84795,34.463246,22.051026,3679.100605,4089.448347,2101.575459
7830.579432,5890.79482,1731.364249,701.430901,11.735447,36.735851,37.205332,6717.272103,5901.179369,4744.288756
4504.360674,1525.526067,961.740582,592.449226,21.123307,23.760533,44.838454,3479.961329,2800.24287,1023.219309
2783.258687,990.890285,673.003363,285.394759,10.806559,14.210828,20.708002,2490.91663,1982.191615,1150.807353
17850.656754,14457.377134,9409.763378,10322.209578,2504.05849,2670.520897,4872.314015,17917.849138,16939.483878,16038.700501
10116.498394,5266.177364,3332.386205,1419.393678,38.960679,32.528002,45.429928,8157.968803,11002.465105,8613.893145
9218.642261,7010.071313,3414.712367,2265.093353,63.881958,676.016323,632.835256,8869.239696,11122.311553,10770.519687
13871.413735,10607.060358,6760.31461,6744.858941,662.114276,716.454149,1282.151652,13076.320416,15749.28872,13954.276801
8770.792316,3060.807394,3807.698962,1761.765905,18.188209,17.132196,143.86841,8997.886824,5760.098726,4481.524741
2313.036054,1232.55472,448.51881,343.311487,13.388844,19.323604,50.283706,2141.376544,1162.212298,461.111744
3885.77275,2164.680812,1036.986341,1223.351149,70.469182,13.413241,14.395414,3910.378695,4242.639609,1774.713202
9676.28364,4464.612059,3439.683867,1740.127265,19.106899,36.094525,28.44237,9438.916166,11479.799145,10016.893592
2842.79586,1095.697702,1339.447594,27.94649,19.303913,31.090966,20.902934,2532.641186,1705.648755,1769.928191
5780.164584,1356.148172,889.443865,270.084252,19.652518,48.835807,27.672408,4927.001218,6845.983102,5585.511261
14397.432387,10770.215683,5258.038137,5694.592391,831.633166,1111.634185,2669.504369,14400.243649,16265.649548,14138.518643
9901.168508,6160.887668,4710.834504,4017.630593,137.360753,83.950265,4531.622098,8336.422812,11710.732401,10088.571816
4760.403698,1533.062963,659.741496,287.438713,25.947411,27.8817,48.212324,6005.208476,5748.197731,3957.186339
9947.358814,7371.786578,4080.923737,3428.947962,280.8948,467.450865,1454.814353,10798.652113,11372.430048,9638.657667
7517.806546,2966.234052,1307.502269,1125.856506,13.814636,47.400507,35.748873,6639.686148,6290.850135,2348.604957
8879.809131,5629.101563,2699.662817,1780.298731,36.503487,18.554587,1621.567054,8440.260234,8105.800517,3591.929669
3419.9015,1485.426771,942.444654,106.907657,15.009545,18.64133,46.533415,3784.787067,3283.673599,3303.232676
8538.930405,3821.935868,5724.874891,3227.920393,27.241289,296.418617,20.187896,10481.844317,10979.56502,10240.506776
9902.096806,6242.114608,4356.980002,313.699406,20.060974,21.306659,114.486001,7846.371963,11044.810735,10100.287238
3751.209682,678.535568,1284.916572,69.791258,27.023123,38.532507,23.247955,3814.700095,1793.340351,526.16626
14414.252349,10651.370539,6326.226631,5472.142419,948.793285,512.391547,295.755101,15395.55183,14628.481688,17312.842233
6708.790783,3035.125752,1638.338691,1699.438406,16.075545,33.082302,16.36045,6078.455384,3985.444525,4202.458544
7456.152557,3628.610485,3035.890225,237.769884,15.186662,242.304793,22.21619,4791.751181,8936.417976,8030.177359
14460.476072,11660.791879,6371.273189,6504.977263,771.669286,1501.73414,3163.199418,13948.175906,15921.018658,16634.76682
1943.797016,298.662208,212.95079,63.264491,40.119447,31.722318,34.694878,1660.361217,2747.493017,2157.051503
7881.950847,6146.87699,3030.790408,2378.163409,158.556038,227.89575,236.41822,7954.562147,7294.300168,5038.263278
11834.54355,7466.961829,4098.07665,3200.636931,14.349463,151.706593,209.61548,12890.955112,12855.99422,13517.527406
6096.044576,3628.978296,2736.024446,675.593239,25.968322,27.159853,26.76263,6006.978296,7041.152029,7250.041279
