FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
7499.1712,4725.720974,1951.243386,888.173617,29.536271,24.996707,75.547397,7758.592834,5995.725565,6892.466218,4156.642637,8936.544328
9344.446725,5944.652786,1954.775508,760.921913,43.475852,38.209948,77.446158,9428.035963,5750.692879,5994.392676,1783.797875,11027.38772
5126.256627,1838.173984,1985.344503,346.966094,16.746743,20.82379,27.85679,4252.903886,3341.929078,6368.283688,1768.930804,6471.57965
5538.22828,3288.547473,4748.1785,2154.575005,35.769788,62.649544,95.178286,6098.25377,2563.616588,2453.687516,2278.616751,2556.464489
4213.10749,891.684496,1509.066338,128.434795,8.313945,15.962357,11.369905,2996.321244,902.784737,559.407869,723.939353,5506.255451
11109.607406,6052.034277,3812.591704,2890.057207,243.212163,767.866446,447.022494,9659.085329,11811.045647,12110.932451,6955.421959,13483.260749
11444.204317,8592.712494,4823.924826,3034.894241,11.267142,94.862521,27.321479,9556.528067,9062.282094,11847.306893,5889.090348,12239.58889
7704.90093,2632.846712,1986.678286,713.226988,39.720715,21.249013,35.966522,8017.709794,8632.68141,9234.703092,5865.318555,9738.144586
7070.390823,3810.080715,2184.263917,649.733284,62.179382,27.495232,78.902098,6285.95236,4703.893297,4168.402677,3800.992831,8438.193763
8853.738516,4214.557391,1868.549398,1589.549162,20.341068,30.571359,33.886515,7613.923806,5136.23792,9293.956272,6035.057339,10743.104705
6220.640889,2184.719073,1299.63098,109.738539,26.810083,21.139746,16.649111,5368.91647,3428.050685,3590.651473,2838.857884,4139.594785
9363.122694,7216.584682,4916.282355,5045.349453,137.070639,782.26036,285.012176,8694.130328,10305.18913,11400.172055,5043.616053,11659.551106
6508.781562,3093.872435,1667.938544,159.356976,13.905381,27.638318,42.734681,6356.979053,7984.015893,8206.281878,4731.720497,8449.045213
10184.051714,7754.518742,4884.301146,4669.646051,915.844225,873.978591,951.434856,11548.023914,9671.913601,10938.163667,7256.7182,12151.944431
21740.858037,13432.467682,7868.002466,9621.188032,3368.712986,3801.453214,2765.056534,20802.250869,20822.473254,22659.60775,12225.413893,22007.781371
5013.515871,2296.376267,641.122058,383.399447,44.231504,46.377405,41.925426,4772.365668,2312.252294,2369.543297,1280.206154,1711.409009
8576.203487,6891.95132,2975.602112,1221.98813,21.508928,69.488857,23.67757,10617.911825,8770.755171,8894.958404,2206.970623,10301.98575
13923.55559,9044.690005,6012.330524,4264.711842,241.380967,200.470866,738.49237,13782.501025,13138.88093,13256.523913,5911.792814,13205.815975
4299.770978,1914.490724,1166.349932,655.870403,112.84795,34.463246,22.051026,3679.100605,3251.272378,2159.73906,3321.588776,3274.507213
7830.579432,5890.79482,1731.364249,701.430901,11.735447,36.735851,37.205332,6717.272103,6048.848816,4480.909958,2491.831678,5755.001549
4504.360674,1525.526067,961.740582,592.449226,21.123307,23.760533,44.838454,3479.961329,1043.646582,1059.670533,577.52999,1248.993481
2783.258687,990.890285,673.003363,285.394759,10.806559,14.210828,20.708002,2490.91663,1537.006172,1159.453285,732.046666,1297.112124
17850.656754,14457.377134,9409.763378,10322.209578,2504.05849,2670.520897,4872.314015,17917.849138,15833.563344,15867.438061,8963.774652,19200.23121
10116.498394,5266.177364,3332.386205,1419.393678,38.960679,32.528002,45.429928,8157.968803,8616.642592,9442.851193,4436.584283,10673.975092
9218.642261,7010.071313,3414.712367,2265.093353,63.881958,676.016323,632.835256,8869.239696,9321.920173,10770.521846,5861.624903,11058.93598
13871.413735,10607.060358,6760.31461,6744.858941,662.114276,716.454149,1282.151652,13076.320416,13846.0171,13719.528687,8552.750278,15446.315403
8770.792316,3060.807394,3807.698962,1761.765905,18.188209,17.132196,143.86841,8997.886824,5233.901428,4497.928733,3574.963447,3937.777411
2313.036054,1232.55472,448.51881,343.311487,13.388844,19.323604,50.283706,2141.376544,573.668819,483.636864,204.147675,428.008313
3885.77275,2164.680812,1036.986341,1223.351149,70.469182,13.413241,14.395414,3910.378695,2656.081735,1776.027986,663.594907,1215.573057
