FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA
5.635206,3.471168,2.267516,1.82593,1.658189,1.667759,1.763201,1.786998,2.290667,2.290667
79.369997,15.760179,11.803533,11.771221,2.659994,3.222733,3.386875,3.247105,10.478374,10.47827
18.678644,5.433028,2.788944,2.621209,2.66538,3.599538,3.062139,2.52572,3.307703,3.307667
13.177393,4.889355,3.173571,2.152027,1.307349,1.306928,1.486626,1.454074,1.968464,1.968495
11.331289,4.158523,3.117929,2.777543,1.490283,1.649059,1.996579,1.889417,2.186819,2.187336
40.925449,28.633243,14.394295,7.947156,5.491409,2.256428,2.676982,2.565549,3.57748,3.569206
98.934038,48.875597,8.627471,3.911433,1.762817,2.067856,6.469546,6.476503,35.962768,37.326604
19.14902,7.809703,3.439605,2.051205,1.476731,1.5386,2.13818,2.194496,3.09121,3.098171
62.467439,18.235361,11.637449,9.631376,1.490958,1.620365,2.237228,2.221111,2.991806,2.994875
66.252612,46.284718,31.15587,14.141958,2.006908,2.837262,3.23332,3.067321,4.31743,4.333039
118.162946,66.261139,46.276349,13.648407,3.318993,5.340951,13.424573,15.711367,30.592279,31.542601
35.162092,11.828508,6.237712,3.974834,2.420659,2.666416,3.541071,3.433866,6.447456,6.485085
46.9413,11.061434,5.8343,4.216017,1.654975,1.470102,2.34539,2.12355,3.016818,3.006398
6.986297,3.431778,2.590355,2.291422,1.59867,1.542827,2.386101,1.331311,2.441222,2.441222
106.310394,9.526979,5.78155,3.682335,125.963901,35.732969,29.703554,14.34756,32.249792,32.249321
