FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
3299.673899,2031.779043,1401.39501,1568.27072,12.512727,25.169327,26.929242,2264.658361,2423.458139,747.357085,2284.865425,1513.321097
7724.389744,7309.115738,5720.59457,6951.672023,235.145417,15.809088,259.210798,4089.54293,8004.225053,5446.871362,3080.549554,5988.920041
5150.76639,5657.883582,2942.515206,3198.621261,54.200407,31.800091,73.115046,2938.150205,6223.161755,1155.317294,1776.998482,2002.934951
10647.923447,10938.529,6566.237507,9372.767437,2589.634263,2892.396736,690.01024,8418.312222,12378.789752,5531.44386,7392.239891,6714.192534
5705.712016,5840.950121,3600.448033,3651.511361,1739.257516,1013.118639,2115.994646,5147.218138,6674.405066,5118.269414,4206.067188,3766.217037
3546.723836,3947.430531,2887.738709,5168.984233,228.147218,74.122572,89.36709,4178.521535,4506.462273,1264.818292,1805.408764,1961.182201
7806.882062,8146.628695,3760.363012,5688.448081,723.550421,208.140159,705.939795,5890.161036,8382.308527,5429.599985,2557.191008,2877.834958
4600.859343,4810.524424,2625.856357,3481.460009,499.176911,12.349913,23.281266,2317.059038,4981.706223,2863.863346,1624.219724,2990.4437
13657.798634,12175.930856,6931.611596,9106.736573,3850.005079,1000.835911,2222.035982,5297.263356,14616.913855,7376.630819,9009.327937,10379.876756
12396.730626,10161.191601,8802.395407,10077.717894,5207.357066,2953.031408,3047.769726,10486.923256,12984.353309,9478.132357,9726.136998,10855.009166
5293.591266,4945.485089,3551.473364,4001.000484,576.57283,261.323771,411.126138,6065.235518,5760.788937,4690.79747,4226.671551,4304.401827
13903.957562,14052.478427,10801.505468,11704.905451,5099.275533,2377.52049,4672.911262,13255.288209,15069.849498,10802.661612,6410.657685,8558.971639
5436.293106,4619.368583,3268.601693,3182.928641,61.907827,11.192383,25.944528,2974.384248,5878.124346,4772.835738,1416.97263,3154.095163
4975.828312,5160.472724,2636.674432,4193.07265,99.640721,42.443555,48.483256,2908.714507,6107.793352,1861.389757,2880.084153,2727.227229
13601.530349,13759.28321,8772.198381,11829.624118,2733.299525,1938.455055,2944.283107,10579.795327,13668.333509,8432.531373,7653.273,10711.980782
11158.313903,11473.969133,6719.509182,9593.964446,1648.47667,1282.975583,2055.352275,7919.346758,12336.47766,6975.499899,8074.600301,7011.019407
3086.507086,1921.015694,1780.041374,1700.51436,6.61154,4.668379,11.258107,1099.84051,4119.642679,1124.354603,912.803129,1624.277371
4767.246405,4297.130531,2736.024953,2749.728603,69.00429,8.999488,39.465695,3663.439905,4771.677903,3397.349288,1220.559567,2676.277386
11075.743264,12269.384547,8989.216237,9994.12896,2365.456234,1122.335187,630.615309,7180.8661,12224.150572,3520.051471,8201.765208,10080.110183
12910.986127,12247.112612,8219.791856,8586.332727,4110.765654,3529.716988,3032.277077,9012.204102,13542.233123,8305.473882,6846.029501,9228.818862
2866.976901,2428.472524,1033.964526,1887.028233,132.129544,11.635662,17.002652,2578.925032,3093.406039,1337.371907,619.582618,1138.729845
9848.271663,10311.138719,6260.274999,8279.709677,999.105323,179.368227,960.390868,9552.49868,10740.946973,4665.717404,5424.871677,6229.69091
